,,,,,,,Secondary market prices ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Theme,#,# of Pieces,Year of release,Name,Retail price at release ($),1/12,1/1,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-02,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,,,,,,,,
1,Architecture,21005-1,811,2009,Fallingwater,99.99,$177.82,$185.60,$194.30,$199.40,$189.80,$192.67,$170.80,$180.67,$212.81,$200.69,$198.09,$209.19,$225.43,$225.53,$203.70,$225.63,$226.13,$212.75,$229.12,$234.13,$241.60,$238.93,$220.15,$240.27,$239.49,$238.72,$242.13,$251.13,$251.67,$263.27,$263.93,$220.27,$211.20,$241.87,$227.73,$234.20,$279.79,$280.00,$260.40,$257.40,$240.60,,,,,,,,
2,Architecture,21000-1,69,2008,Sears Tower,19.99,$44.93,$44.93,$50.47,$52.80,$58.00,$58.00,$58.00,$58.00,$58.00,$58.00,$58.00,$58.00,$74.33,$74.33,$74.33,$74.33,$74.33,$72.36,$72.36,$72.36,$68.46,$68.46,$68.46,$68.46,$70.14,$71.82,$76.80,$85.60,$83.47,$86.60,$86.60,$86.60,$86.60,$86.60,$86.60,$86.60,$86.60,$86.60,$86.60,$86.60,$86.60,,,,,,,,
3,Architecture,21001-1,69,2008,John Hancock Center,19.99,$165.67,$179.53,$186.13,$186.13,$186.13,$186.13,$186.13,$182.47,$184.40,$180.47,$174.60,$166.80,$160.47,$164.20,$171.80,$172.13,$170.40,$177.13,$183.07,$196.87,$183.40,$176.60,$176.60,$149.20,$157.53,$165.87,$169.67,$184.53,$180.93,$180.93,$160.87,$160.87,$162.80,$169.87,$170.40,$165.93,$165.47,$165.47,$165.47,$178.67,$178.67,,,,,,,,
4,Architecture,21002-1,77,2009,Empire State Building,19.99,$36.11,$33.32,$34.65,$33.33,$31.20,$31.00,$37.27,$33.93,$32.27,$34.13,$32.73,$32.92,$40.65,$41.85,$40.63,$35.87,$37.33,$32.87,$36.33,$34.39,$27.59,$29.87,$32.93,$34.73,$37.80,$40.88,$40.94,$39.06,$35.55,$40.00,$41.67,$44.41,$44.87,$41.00,$39.73,$40.80,$46.94,$47.20,$48.53,$52.07,$51.47,,,,,,,,
5,Architecture,21003-1,57,2009,Seattle Space Needle,19.99,$22.41,$21.50,$20.39,$21.33,$20.80,$20.00,$20.93,$29.87,$30.37,$26.88,$32.80,$29.68,$33.39,$32.56,$33.40,$32.36,$35.65,$34.63,$35.25,$33.95,$36.25,$40.83,$40.86,$44.98,$47.46,$49.95,$49.83,$49.42,$54.53,$48.50,$48.20,$53.13,$50.00,$38.80,$44.40,$57.86,$60.47,$61.20,$54.19,$70.33,$62.00,,,,,,,,
6,Architecture,21004-1,208,2009,Solomon Guggenheim Museum,39.99,$121.05,$118.67,$122.60,$113.60,$111.07,$108.00,$111.60,$118.40,$124.80,$134.87,$126.93,$134.73,$114.40,$110.53,$103.93,$89.87,$81.33,$86.00,$78.83,$68.53,$72.47,$71.40,$68.53,$69.00,$64.90,$60.80,$58.07,$61.00,$69.93,$66.40,$68.07,$59.13,$63.53,$58.40,$60.53,$61.87,$62.87,$66.33,$71.00,$71.00,$66.00,,,,,,,,
7,Architecture,21006-1,560,2010,White House,49.99,$47.95,$45.00,$45.30,$42.13,$42.13,$41.33,$39.87,$35.60,$35.60,$35.13,$35.07,$43.20,$52.98,$58.84,$62.19,$62.20,$61.28,$56.91,$57.57,$62.47,$62.13,$62.21,$59.07,$73.12,$78.19,$83.26,$87.44,$92.40,$91.27,$86.55,$96.60,$89.85,$88.57,$83.00,$100.80,$106.00,$122.14,$125.35,$105.08,$124.13,$125.80,,,,,,,,
8,Architecture,21000-2,69,2011,Willis Tower,19.99,$59.65,$60.06,$68.73,$68.73,$68.73,$68.73,$62.80,$62.27,$69.87,$71.07,$69.53,$74.55,$81.46,$75.20,$75.33,$71.60,$72.80,$67.67,$73.27,$71.47,$84.27,$79.60,$70.33,$63.80,$71.60,$79.40,$79.07,$79.27,$79.27,$77.13,$77.47,$76.73,$72.07,$75.87,$77.00,$78.00,$88.87,$97.40,$105.07,$104.20,$104.00,,,,,,,,
9,Architecture,21007-1,240,2011,Rockefeller Center,39.99,$86.93,$83.47,$93.20,$95.07,$102.00,$103.33,$109.67,$107.53,$100.00,$95.40,$92.60,$91.47,$95.07,$89.87,$84.87,$84.27,$84.60,$98.66,$99.27,$102.27,$100.13,$89.07,$89.67,$84.80,$86.27,$87.73,$90.87,$90.07,$90.73,$90.73,$90.00,$88.33,$86.67,$76.87,$73.40,$78.00,$87.35,$87.07,$88.13,$81.47,$77.93,,,,,,,,
