"Dogecoin DOGE/USD price history up until Feb 26, 2023",,,
"Dogecoin (DOGE) price per day from Dec 2013 - Feb 26, 2023 (in U.S. cents)",,,
Date,Value,,
2013-12-01,$0.00,,
2014-01-01,$0.00,,
2014-02-01,$0.00,,
2014-03-01,$0.00,,
2014-04-01,$0.00,,
2014-05-01,$0.00,,
2014-06-01,$0.00,,
2014-07-01,$0.00,,
2014-08-01,$0.00,,
2014-09-01,$0.00,,
2014-10-01,$0.00,,
2014-11-01,$0.00,,
2014-12-01,$0.00,,
2015-01-01,$0.00,,
2015-02-01,$0.00,,
2015-03-01,$0.00,,
2015-04-01,$0.00,,
2015-05-01,$0.00,,
2015-06-01,$0.00,,
2015-07-01,$0.00,,
2015-08-01,$0.00,,
2015-09-01,$0.00,,
2015-10-01,$0.00,,
2015-11-01,$0.00,,
2015-12-01,$0.00,,
2016-01-01,$0.00,,
2016-02-01,$0.00,,
2016-03-01,$0.00,,
2016-04-01,$0.00,,
2016-05-01,$0.00,,
2016-06-01,$0.00,,
2016-07-01,$0.00,,
2016-08-01,$0.00,,
2016-09-01,$0.00,,
2016-10-01,$0.00,,
2016-11-01,$0.00,,
2016-12-01,$0.00,,
2017-01-01,$0.00,,
2017-02-01,$0.00,,
2017-03-01,$0.00,,
2017-04-01,$0.00,,
2017-05-01,$0.00,,
2017-06-01,$0.00,,
2017-07-01,$0.00,,
2017-08-01,$0.00,,
2017-09-01,$0.00,,
2017-10-01,$0.00,,
2017-11-01,$0.00,,
2017-12-01,$0.01,,
2018-01-01,$0.01,,
2018-02-01,$0.01,,
2018-03-01,$0.00,,
2018-04-01,$0.01,,
2018-05-01,$0.00,,
2018-06-01,$0.00,,
2018-07-01,$0.00,,
2018-08-01,$0.00,,
2018-09-01,$0.01,,
2018-10-01,$0.00,,
2018-11-01,$0.00,,
2018-12-01,$0.00,,
2019-01-01,$0.00,,
2019-02-01,$0.00,,
2019-03-01,$0.00,,
2019-04-01,$0.00,,
2019-05-01,$0.00,,
2019-06-01,$0.00,,
2019-07-01,$0.00,,
2019-08-01,$0.00,,
2019-09-01,$0.00,,
2019-10-01,$0.00,,
2019-11-01,$0.00,,
2019-12-01,$0.00,,
2020-01-01,$0.00,,
2020-02-01,$0.00,,
2020-03-01,$0.00,,
2020-04-01,$0.00,,
2020-05-01,$0.00,,
2020-06-01,$0.00,,
2020-07-01,$0.00,,
2020-08-01,$0.00,,
2020-09-01,$0.00,,
2020-10-01,$0.00,,
2020-11-01,$0.00,,
2020-12-01,$0.00,,
2021-01-01,$0.03,,
2021-02-01,$0.05,,
2021-03-01,$0.05,,
2021-04-01,$0.31,,
2021-05-01,$0.30,,
2021-06-01,$0.26,,
2021-07-01,$0.21,,
2021-08-01,$0.27,,
2021-09-01,$0.20,,
2021-10-01,$0.27,,
2021-11-01,$0.22,,
2021-12-01,$0.17,,
2022-01-01,$0.14,,
2022-02-01,$0.12,,
2022-03-01,$0.14,,
2022-04-01,$0.14,,
2022-05-01,$0.09,,
2022-06-01,$0.07,,
2022-07-01,$0.07,,
2022-08-01,$0.06,,
2022-09-01,$0.06,,
2022-10-01,$0.12,,
2022-11-01,$0.10,,
2022-12-01,$0.07,,
2023-01-01,$0.09,,
"Feb 01, 2023",0.10,,
"Feb 02, 2023",0.09,,
"Feb 03, 2023",0.09,,
"Feb 04, 2023",0.09,,
"Feb 05, 2023",0.10,,
"Feb 06, 2023",0.09,,
"Feb 07, 2023",0.09,,
"Feb 08, 2023",0.09,,
"Feb 09, 2023",0.09,,
"Feb 10, 2023",0.08,,
"Feb 11, 2023",0.08,,
"Feb 12, 2023",0.08,,
"Feb 13, 2023",0.08,,
"Feb 14, 2023",0.08,,
"Feb 15, 2023",0.08,,
"Feb 16, 2023",0.09,,
"Feb 17, 2023",0.09,,
"Feb 18, 2023",0.09,,
"Feb 19, 2023",0.09,,
"Feb 20, 2023",0.09,,
"Feb 21, 2023",0.09,,
"Feb 22, 2023",0.09,,
"Feb 23, 2023",0.09,,
"Feb 24, 2023",0.08,,
"Feb 25, 2023",0.08,,
"Feb 26, 2023",0.08,,
